cbsa.code	cbsa.name
28900	"Klamath Falls, OR Micro Area"
28940	"Knoxville, TN Metro Area"
29020	"Kokomo, IN Metro Area"
29060	"Laconia, NH Micro Area"
29100	"La Crosse-Onalaska, WI-MN Metro Area"
29180	"Lafayette, LA Metro Area"
29200	"Lafayette-West Lafayette, IN Metro Area"
29260	"La Grande, OR Micro Area"
29300	"LaGrange, GA Micro Area"
29340	"Lake Charles, LA Metro Area"
29380	"Lake City, FL Micro Area"
29420	"Lake Havasu City-Kingman, AZ Metro Area"
29460	"Lakeland-Winter Haven, FL Metro Area"
29500	"Lamesa, TX Micro Area"
29540	"Lancaster, PA Metro Area"
29620	"Lansing-East Lansing, MI Metro Area"
29660	"Laramie, WY Micro Area"
29700	"Laredo, TX Metro Area"
29740	"Las Cruces, NM Metro Area"
29780	"Las Vegas, NM Micro Area"
29820	"Las Vegas-Henderson-Paradise, NV Metro Area"
29860	"Laurel, MS Micro Area"
29900	"Laurinburg, NC Micro Area"
29940	"Lawrence, KS Metro Area"
29980	"Lawrenceburg, TN Micro Area"
30020	"Lawton, OK Metro Area"
30060	"Lebanon, MO Micro Area"
30140	"Lebanon, PA Metro Area"
30220	"Levelland, TX Micro Area"
30260	"Lewisburg, PA Micro Area"
30280	"Lewisburg, TN Micro Area"
30300	"Lewiston, ID-WA Metro Area"
30340	"Lewiston-Auburn, ME Metro Area"
30380	"Lewistown, PA Micro Area"
30420	"Lexington, NE Micro Area"
30460	"Lexington-Fayette, KY Metro Area"
30580	"Liberal, KS Micro Area"
30620	"Lima, OH Metro Area"
30660	"Lincoln, IL Micro Area"
30700	"Lincoln, NE Metro Area"
30780	"Little Rock-North Little Rock-Conway, AR Metro Area"
30820	"Lock Haven, PA Micro Area"
30860	"Logan, UT-ID Metro Area"
30880	"Logan, WV Micro Area"
30900	"Logansport, IN Micro Area"
30940	"London, KY Micro Area"
30980	"Longview, TX Metro Area"
31020	"Longview, WA Metro Area"
31060	"Los Alamos, NM Micro Area"
31080	"Los Angeles-Long Beach-Anaheim, CA Metro Area"
31140	"Louisville/Jefferson County, KY-IN Metro Area"
31180	"Lubbock, TX Metro Area"
31220	"Ludington, MI Micro Area"
31260	"Lufkin, TX Micro Area"
31300	"Lumberton, NC Micro Area"
31340	"Lynchburg, VA Metro Area"
31380	"Macomb, IL Micro Area"
31420	"Macon, GA Metro Area"
31460	"Madera, CA Metro Area"
31500	"Madison, IN Micro Area"
31540	"Madison, WI Metro Area"
31580	"Madisonville, KY Micro Area"
31620	"Magnolia, AR Micro Area"
31660	"Malone, NY Micro Area"
31680	"Malvern, AR Micro Area"
31700	"Manchester-Nashua, NH Metro Area"
31740	"Manhattan, KS Metro Area"
31820	"Manitowoc, WI Micro Area"
31860	"Mankato-North Mankato, MN Metro Area"
31900	"Mansfield, OH Metro Area"
31930	"Marietta, OH Micro Area"
31940	"Marinette, WI-MI Micro Area"
31980	"Marion, IN Micro Area"
32000	"Marion, NC Micro Area"
32020	"Marion, OH Micro Area"
32100	"Marquette, MI Micro Area"
32140	"Marshall, MN Micro Area"
32180	"Marshall, MO Micro Area"
32220	"Marshall, TX Micro Area"
32260	"Marshalltown, IA Micro Area"
32280	"Martin, TN Micro Area"
32300	"Martinsville, VA Micro Area"
32340	"Maryville, MO Micro Area"
32380	"Mason City, IA Micro Area"
32420	"Mayagüez, PR Metro Area"
32460	"Mayfield, KY Micro Area"
32500	"Maysville, KY Micro Area"
32540	"McAlester, OK Micro Area"
32580	"McAllen-Edinburg-Mission, TX Metro Area"
32620	"McComb, MS Micro Area"
32660	"McMinnville, TN Micro Area"
32700	"McPherson, KS Micro Area"
32740	"Meadville, PA Micro Area"
32780	"Medford, OR Metro Area"
32820	"Memphis, TN-MS-AR Metro Area"
32860	"Menomonie, WI Micro Area"
32900	"Merced, CA Metro Area"
32940	"Meridian, MS Micro Area"
32980	"Merrill, WI Micro Area"
33020	"Mexico, MO Micro Area"
33060	"Miami, OK Micro Area"
33100	"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
33140	"Michigan City-La Porte, IN Metro Area"
33180	"Middlesborough, KY Micro Area"
33220	"Midland, MI Metro Area"
33260	"Midland, TX Metro Area"
33300	"Milledgeville, GA Micro Area"
33340	"Milwaukee-Waukesha-West Allis, WI Metro Area"
33420	"Mineral Wells, TX Micro Area"
33460	"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
33500	"Minot, ND Micro Area"
33540	"Missoula, MT Metro Area"
33580	"Mitchell, SD Micro Area"
33620	"Moberly, MO Micro Area"
33660	"Mobile, AL Metro Area"
33700	"Modesto, CA Metro Area"
33740	"Monroe, LA Metro Area"
33780	"Monroe, MI Metro Area"
33860	"Montgomery, AL Metro Area"
33940	"Montrose, CO Micro Area"
33980	"Morehead City, NC Micro Area"
34020	"Morgan City, LA Micro Area"
34060	"Morgantown, WV Metro Area"
34100	"Morristown, TN Metro Area"
34140	"Moscow, ID Micro Area"
34180	"Moses Lake, WA Micro Area"
34220	"Moultrie, GA Micro Area"
34260	"Mountain Home, AR Micro Area"
34300	"Mountain Home, ID Micro Area"
34340	"Mount Airy, NC Micro Area"
34380	"Mount Pleasant, MI Micro Area"
34420	"Mount Pleasant, TX Micro Area"
34460	"Mount Sterling, KY Micro Area"
34500	"Mount Vernon, IL Micro Area"
34540	"Mount Vernon, OH Micro Area"
34580	"Mount Vernon-Anacortes, WA Metro Area"
34620	"Muncie, IN Metro Area"
34660	"Murray, KY Micro Area"
34700	"Muscatine, IA Micro Area"
34740	"Muskegon, MI Metro Area"
34780	"Muskogee, OK Micro Area"
34820	"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area"
34860	"Nacogdoches, TX Micro Area"
34900	"Napa, CA Metro Area"
34940	"Naples-Immokalee-Marco Island, FL Metro Area"
34980	"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
35020	"Natchez, MS-LA Micro Area"
35060	"Natchitoches, LA Micro Area"
35100	"New Bern, NC Metro Area"
