state.to	state.from	total	statecode.to	statecode.from
Hawaii	West Virginia	130	HI	WV
Hawaii	Wisconsin	158	HI	WI
Hawaii	Wyoming	0	HI	WY
Idaho	Alabama	564	ID	AL
Idaho	Alaska	1061	ID	AK
Idaho	Arizona	3152	ID	AZ
Idaho	Arkansas	1441	ID	AR
Idaho	California	18928	ID	CA
Idaho	Colorado	3659	ID	CO
Idaho	Connecticut	127	ID	CT
Idaho	Delaware	0	ID	DE
Idaho	District of Columbia 	0	ID	DC
Idaho	Florida	1864	ID	FL
Idaho	Georgia	1079	ID	GA
Idaho	Hawaii	0	ID	HI
Idaho	Idaho	0	ID	ID
Idaho	Illinois	857	ID	IL
Idaho	Indiana	147	ID	IN
Idaho	Iowa	120	ID	IA
Idaho	Kansas	1201	ID	KS
Idaho	Kentucky	792	ID	KY
Idaho	Louisiana	240	ID	LA
Idaho	Maine	128	ID	ME
Idaho	Maryland	170	ID	MD
Idaho	Massachusetts	457	ID	MA
Idaho	Michigan	100	ID	MI
Idaho	Minnesota	533	ID	MN
Idaho	Mississippi	0	ID	MS
Idaho	Missouri	1864	ID	MO
Idaho	Montana	1466	ID	MT
Idaho	Nebraska	0	ID	NE
Idaho	Nevada	1891	ID	NV
Idaho	New Hampshire	119	ID	NH
Idaho	New Jersey	27	ID	NJ
Idaho	New Mexico	391	ID	NM
Idaho	New York	1003	ID	NY
Idaho	North Carolina	226	ID	NC
Idaho	North Dakota	833	ID	ND
Idaho	Ohio	563	ID	OH
Idaho	Oklahoma	567	ID	OK
Idaho	Oregon	7295	ID	OR
Idaho	Pennsylvania	217	ID	PA
Idaho	Rhode Island	0	ID	RI
Idaho	South Carolina	196	ID	SC
Idaho	South Dakota	152	ID	SD
Idaho	Tennessee	419	ID	TN
Idaho	Texas	2959	ID	TX
Idaho	Utah	6625	ID	UT
Idaho	Vermont	343	ID	VT
Idaho	Virginia	689	ID	VA
Idaho	Washington	6499	ID	WA
Idaho	West Virginia	441	ID	WV
Idaho	Wisconsin	122	ID	WI
Idaho	Wyoming	2282	ID	WY
Illinois	Alabama	1853	IL	AL
Illinois	Alaska	350	IL	AK
Illinois	Arizona	6776	IL	AZ
Illinois	Arkansas	1452	IL	AR
Illinois	California	18953	IL	CA
Illinois	Colorado	3998	IL	CO
Illinois	Connecticut	1473	IL	CT
Illinois	Delaware	171	IL	DE
Illinois	District of Columbia 	1050	IL	DC
Illinois	Florida	11428	IL	FL
Illinois	Georgia	5581	IL	GA
Illinois	Hawaii	1697	IL	HI
Illinois	Idaho	474	IL	ID
Illinois	Illinois	0	IL	IL
Illinois	Indiana	14473	IL	IN
Illinois	Iowa	9969	IL	IA
Illinois	Kansas	1267	IL	KS
Illinois	Kentucky	2654	IL	KY
Illinois	Louisiana	2022	IL	LA
Illinois	Maine	563	IL	ME
Illinois	Maryland	2549	IL	MD
Illinois	Massachusetts	3460	IL	MA
Illinois	Michigan	11936	IL	MI
Illinois	Minnesota	4832	IL	MN
Illinois	Mississippi	2503	IL	MS
Illinois	Missouri	15395	IL	MO
Illinois	Montana	636	IL	MT
Illinois	Nebraska	1791	IL	NE
Illinois	Nevada	2266	IL	NV
Illinois	New Hampshire	170	IL	NH
Illinois	New Jersey	3259	IL	NJ
Illinois	New Mexico	757	IL	NM
Illinois	New York	6923	IL	NY
Illinois	North Carolina	4458	IL	NC
Illinois	North Dakota	418	IL	ND
Illinois	Ohio	10281	IL	OH
Illinois	Oklahoma	2549	IL	OK
Illinois	Oregon	1838	IL	OR
Illinois	Pennsylvania	4810	IL	PA
Illinois	Rhode Island	438	IL	RI
Illinois	South Carolina	1805	IL	SC
Illinois	South Dakota	295	IL	SD
Illinois	Tennessee	5566	IL	TN
Illinois	Texas	11719	IL	TX
Illinois	Utah	607	IL	UT
Illinois	Vermont	302	IL	VT
Illinois	Virginia	5804	IL	VA
Illinois	Washington	3377	IL	WA
Illinois	West Virginia	808	IL	WV
Illinois	Wisconsin	11785	IL	WI
Illinois	Wyoming	287	IL	WY
Indiana	Alabama	2130	IN	AL
Indiana	Alaska	0	IN	AK
Indiana	Arizona	2871	IN	AZ
Indiana	Arkansas	640	IN	AR
Indiana	California	6407	IN	CA
Indiana	Colorado	2271	IN	CO
Indiana	Connecticut	681	IN	CT
Indiana	Delaware	105	IN	DE
