cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
42300	"Sault Ste. Marie, MI"	Micropolitan Statistical Area	Sault Ste. Marie	26	71740	MI	Sault Ste. Marie MI	38033
42340	"Savannah, GA"	Metropolitan Statistical Area	Savannah	13	69000	GA	Savannah GA	379199
42380	"Sayre, PA"	Micropolitan Statistical Area	Sayre	42	68096	PA	Sayre PA	61281
42420	"Scottsbluff, NE"	Micropolitan Statistical Area	Scottsbluff	31	44245	NE	Scottsbluff NE	38309
42460	"Scottsboro, AL"	Micropolitan Statistical Area	Scottsboro	01	68736	AL	Scottsboro AL	52419
42540	"Scranton--Wilkes-Barre--Hazleton, PA"	Metropolitan Statistical Area	Hazleton	42	33408	PA	Hazleton PA	558166
42540	"Scranton--Wilkes-Barre--Hazleton, PA"	Metropolitan Statistical Area	Scranton	42	69000	PA	Scranton PA	558166
42540	"Scranton--Wilkes-Barre--Hazleton, PA"	Metropolitan Statistical Area	Wilkes-Barre	42	85152	PA	Wilkes-Barre PA	558166
42620	"Searcy, AR"	Micropolitan Statistical Area	Searcy	05	63020	AR	Searcy AR	79161
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Auburn	53	03180	WA	Auburn WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Bellevue	53	05210	WA	Bellevue WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Everett	53	22640	WA	Everett WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Kent	53	35415	WA	Kent WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Lakewood	53	38038	WA	Lakewood WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Redmond	53	57535	WA	Redmond WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Renton	53	57745	WA	Renton WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Seattle	53	63000	WA	Seattle WA	3733580
42660	"Seattle-Tacoma-Bellevue, WA"	Metropolitan Statistical Area	Tacoma	53	70000	WA	Tacoma WA	3733580
42680	"Sebastian-Vero Beach, FL"	Metropolitan Statistical Area	Sebastian	12	64825	FL	Sebastian FL	147919
42680	"Sebastian-Vero Beach, FL"	Metropolitan Statistical Area	Vero Beach	12	74150	FL	Vero Beach FL	147919
42700	"Sebring, FL"	Metropolitan Statistical Area	Sebring	12	64875	FL	Sebring FL	99491
42740	"Sedalia, MO"	Micropolitan Statistical Area	Sedalia	29	66440	MO	Sedalia MO	42255
42780	"Selinsgrove, PA"	Micropolitan Statistical Area	Selinsgrove	42	69216	PA	Selinsgrove PA	40444
42820	"Selma, AL"	Micropolitan Statistical Area	Selma	01	69120	AL	Selma AL	41131
42860	"Seneca, SC"	Micropolitan Statistical Area	Seneca	45	65095	SC	Seneca SC	75713
42900	"Seneca Falls, NY"	Micropolitan Statistical Area	Seneca Falls	36	66322	NY	Seneca Falls NY	34833
42940	"Sevierville, TN"	Micropolitan Statistical Area	Sevierville	47	67120	TN	Sevierville TN	95946
42980	"Seymour, IN"	Micropolitan Statistical Area	Seymour	18	68832	IN	Seymour IN	44069
43020	"Shawano, WI"	Micropolitan Statistical Area	Shawano	55	72925	WI	Shawano WI	45877
43060	"Shawnee, OK"	Micropolitan Statistical Area	Shawnee	40	66800	OK	Shawnee OK	71875
43100	"Sheboygan, WI"	Metropolitan Statistical Area	Sheboygan	55	72975	WI	Sheboygan WI	115569
43140	"Shelby, NC"	Micropolitan Statistical Area	Shelby	37	61200	NC	Shelby NC	96879
43180	"Shelbyville, TN"	Micropolitan Statistical Area	Shelbyville	47	67760	TN	Shelbyville TN	47183
43220	"Shelton, WA"	Micropolitan Statistical Area	Shelton	53	63735	WA	Shelton WA	61023
43260	"Sheridan, WY"	Micropolitan Statistical Area	Sheridan	56	69845	WY	Sheridan WY	30009
43300	"Sherman-Denison, TX"	Metropolitan Statistical Area	Denison	48	19900	TX	Denison TX	125467
43300	"Sherman-Denison, TX"	Metropolitan Statistical Area	Sherman	48	67496	TX	Sherman TX	125467
43320	"Show Low, AZ"	Micropolitan Statistical Area	Show Low	04	66470	AZ	Show Low AZ	108277
43340	"Shreveport-Bossier City, LA"	Metropolitan Statistical Area	Bossier City	22	08920	LA	Bossier City LA	443708
43340	"Shreveport-Bossier City, LA"	Metropolitan Statistical Area	Shreveport	22	70000	LA	Shreveport LA	443708
43380	"Sidney, OH"	Micropolitan Statistical Area	Sidney	39	72424	OH	Sidney OH	48901
43420	"Sierra Vista-Douglas, AZ"	Metropolitan Statistical Area	Douglas	04	20050	AZ	Douglas AZ	126427
43420	"Sierra Vista-Douglas, AZ"	Metropolitan Statistical Area	Sierra Vista	04	66820	AZ	Sierra Vista AZ	126427
43460	"Sikeston, MO"	Micropolitan Statistical Area	Sikeston	29	67790	MO	Sikeston MO	39008
